iter	Passed	Remaining
812	56343	12959
813	56430	12894
814	56496	12824
815	56560	12753
816	56613	12680
817	56662	12606
818	56712	12533
819	56762	12460
820	56813	12386
821	56861	12313
822	56914	12240
823	56977	12170
824	57030	12097
825	57078	12023
826	57136	11952
827	57180	11878
828	57236	11806
829	57305	11737
830	57356	11664
831	57409	11592
832	57461	11519
833	57512	11447
834	57563	11374
835	57614	11302
836	57669	11230
837	57720	11158
838	57771	11086
839	57823	11013
840	57875	10941
841	57924	10869
842	57976	10797
843	58034	10726
844	58095	10656
845	58153	10585
846	58202	10513
847	58254	10441
848	58309	10370
849	58372	10301
850	58438	10231
851	58516	10164
852	58586	10096
853	58655	10027
854	58737	9961
855	58818	9894
856	58906	9829
857	59011	9766
858	59120	9704
859	59252	9645
860	59343	9580
861	59417	9512
862	59486	9443
863	59566	9376
864	59631	9306
865	59689	9236
866	59744	9164
867	59800	9094
868	59859	9023
869	59915	8952
870	59994	8885
871	60060	8816
872	60141	8749
873	60216	8681
874	60283	8611
875	60357	8543
876	60425	8474
877	60490	8405
878	60558	8336
879	60621	8266
880	60689	8197
881	60760	8129
882	60842	8061
883	60911	7992
884	60992	7925
885	61056	7856
886	61124	7786
887	61186	7717
888	61247	7647
889	61306	7577
890	61376	7508
891	61447	7439
892	61505	7369
893	61572	7300
894	61635	7230
895	61701	7161
896	61762	7091
897	61820	7021
898	61876	6951
899	61943	6882
900	62005	6813
901	62068	6743
902	62135	6674
903	62209	6606
904	62287	6538
905	62351	6469
906	62419	6400
907	62481	6330
908	62553	6262
909	62616	6192
910	62672	6122
911	62728	6052
912	62779	5982
913	62829	5911
914	62878	5841
915	62932	5771
916	62984	5700
917	63041	5631
918	63095	5561
919	63147	5491
920	63199	5420
921	63255	5351
922	63308	5281
923	63363	5211
924	63414	5141
925	63470	5072
926	63524	5002
927	63596	4934
928	63646	4864
929	63696	4794
930	63763	4725
931	63824	4656
932	63891	4588
933	63960	4519
934	64026	4451
935	64089	4382
936	64148	4313
937	64206	4243
938	64256	4174
939	64309	4104
940	64359	4035
941	64411	3965
942	64461	3896
943	64519	3827
944	64570	3758
945	64636	3689
946	64690	3620
947	64743	3551
948	64801	3482
949	64853	3413
950	64905	3344
951	64957	3275
952	65013	3206
953	65070	3137
954	65123	3068
955	65182	3000
